-2107	-166.7	
-2142.3	-143.6	
-2219.7	6.4	
-2208.7	118.2	
-2246.2	164.3	
-2225.7	340.6	
-2207.7	456.7	
-2234.4	498.6	
-2312.9	684.4	
-2320.4	788.1	
-2348.4	891.9	
-2356.3	985.8	
-2341.1	1104.1	
-2344.8	1161.2	
-2382.2	1270.3	
-2388.5	1375.9	
-2391.5	1462	
-2399.2	1517.3	
-2387.8	1639.2	
-2365.6	1736.9	
-2364.1	1770.1	
-2402.2	1887.7	
-2385.4	1972.6	
-2359.9	2036.6	
-2369.2	2098	
-2370.2	2215.3	
-2363.3	2280.2	
-2346.8	2369.5	
-2321.6	2450.3	
-2296.9	2507.6	
-2280.5	2566.2	
-2282.7	2567.8	
-2296.7	2610.8	
-2289.8	2681.9	
-2268	2711.4	
-2261.1	2754.6	
-2244.4	2822.1	
-2250.7	2873	
-2215.8	2947.2	
-2199.5	3015.2	
-2192.9	3033.2	
-2164	3124.8	
-2135.8	3165	
-2131.4	3176.5	
-2115.1	3238.1	
-2091.6	3296.8	
-2079.1	3349.3	
-2047.9	3428.6	
-2032.4	3461.3	
-2014	3515.6	
-1962.9	3597.5	
-1955	3614.3	
-1918.5	3683.4	
-1898.2	3730.3	
-1873.6	3780	
-1851.7	3817.7	
-1837.7	3837.7	
-1800.7	3905.2	
-1801	3907.5	
-1758.7	3961.3	
-1742.6	3996.8	
-1722.1	4017.6	
-1715.2	4040.3	
-1695	4061.7	
-1678.5	4094.1	
-1655.5	4121.8	
-1627.6	4179.2	
-1608.5	4200.9	
-1561.4	4266	
-1527.9	4313.2	
-1488.7	4353.3	
-1452.9	4394.2	
-1420.6	4435.9	
-1376.2	4486.6	
-1354.5	4518.4	
-1306.4	4572.9	
-1252.4	4618.6	
-1200.6	4683	
-1151.7	4725.9	
-1096.7	4783.4	
-1030.8	4850.5	
-991.6	4892.6	
-929.5	4939.9	
-885.9	4975.1	
-794.3	5038.1	
-719.9	5093	
-628.2	5156.9	
-512.9	5236.5


























































































